product,month,inQty,qtr,timeAvailable,dayAvailable,dayShutDown,process,eqp,cost,ct,oee,pass,eqpQty,eqpTimeAvailable,prodProcess,variable,solver_qty,Remark,hourRequired,hourAvailable,eqpUtilisation,eqpRequired,eqpCapacity,TCost,reportDate
Product_22,19M06,3416,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,2.7,124.1,1.0,1.0,7.0,18144000.0,19M06Product_22Clinching,19M06Product_22ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_22,19M06,3416,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,5.4,124.1,1.0,1.0,99.0,256608000.0,19M06Product_22Clinching,19M06Product_22ClinchingClincher_Subcon,3416.0,First Optimal,117.7571111111111,71280.0,0.0016520357899987529,0.16355154320987653,3960143.180051119,18446.4,2020-06-25 16:53:37
Product_22,19M06,3416,19Q2,2592000.0,30.0,0.0,Testing,Tester_Subcon,6.0,30.0,1.0,1.0,99.0,256608000.0,19M06Product_22Testing,19M06Product_22TestingTester_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,11664000.0,0.0,2020-06-25 16:53:37
Product_22,19M06,3416,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_Subcon,9.0,120.0,1.0,1.0,99.0,256608000.0,19M06Product_22HeatStaking,19M06Product_22HeatStakingHeatStake_Subcon,3416.0,First Optimal,113.86666666666666,71280.0,0.0015974560419004863,0.15814814814814815,10733938.682295777,30744.0,2020-06-25 16:53:37
Product_22,19M06,3416,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,3.0,372.4,1.0,1.0,99.0,256608000.0,19M06Product_22Pressing,19M06Product_22PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_25,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,0.6,24.8,1.0,1.0,26.0,67392000.0,19M06Product_25Pressing,19M06Product_25PressingHydraulicPress_01,0.0,First Optimal,0.0,18720.0,0.0,0.0,1284554.3505133665,0.0,2020-06-25 16:53:37
Product_25,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,2.4,41.4,1.0,1.0,7.0,18144000.0,19M06Product_25Clinching,19M06Product_25ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_25,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,4.8,41.4,1.0,1.0,99.0,256608000.0,19M06Product_25Clinching,19M06Product_25ClinchingClincher_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,3960143.180051119,0.0,2020-06-25 16:53:37
Product_25,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,1.2,24.8,1.0,1.0,99.0,256608000.0,19M06Product_25Pressing,19M06Product_25PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_26,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,1.5,99.3,1.0,1.0,26.0,67392000.0,19M06Product_26Pressing,19M06Product_26PressingHydraulicPress_01,0.0,First Optimal,0.0,18720.0,0.0,0.0,1284554.3505133665,0.0,2020-06-25 16:53:37
Product_26,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,2.7,40.0,1.0,1.0,7.0,18144000.0,19M06Product_26Clinching,19M06Product_26ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_26,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,5.4,40.0,1.0,1.0,99.0,256608000.0,19M06Product_26Clinching,19M06Product_26ClinchingClincher_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,3960143.180051119,0.0,2020-06-25 16:53:37
